title,authors,editors,date,rating,re-read,pages,non-fiction,comic,published
Tales from Earthsea,Ursula K. Le Guin,,2009-01-01,+,,320,,,
Powers,Ursula K. Le Guin,,2009-01-01,++,,502,,,
The Ladies of Grace Adieu and Other Stories,Susanna Clarke,,2009-01-01,+,,256,,,
"An Anthology of Graphic Fiction, Cartoons, and True Stories: v .2",,Ivan Brunetti,2009-01-01,,,400,,TRUE,
McSweeney's Quarterly Concern Issue 13,,Chris Ware,2009-01-01,+,,263,,TRUE,
Amrita,Banana Yoshimoto,,2009-01-01,-,,384,,,
Man in the Dark,Paul Auster,,2009-01-01,,,192,,,
Dreams of the Rarebit Fiend,Winsor McCay,,2009-02-01,,,200,,TRUE,
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas,,2009-02-01,,,450,TRUE,,
Matter,Iain M. Banks,,2009-02-01,,,656,,,
Acme Novelty Library #18,Chris Ware,,2009-02-01,+,,56,,TRUE,
Acme Novelty Library #19,Chris Ware,,2009-02-01,+,,80,,TRUE,
The Man of My Dreams,Curtis Sittenfeld,,2009-03-09,,,352,,,
The Amazing Adventures of Kavalier and Clay,Michael Chabon,,2009-03-01,++,,643,,,
Gemma Bovery,Posy Simmonds,,2009-03-01,+,,112,,TRUE,
Maps and Legends,Michael Chabon,,2009-03-01,,,250,TRUE,,
Searoad,Ursula K. Le Guin,,2009-04-01,,,200,,,
Very Far Away From Anywhere Else,Ursula K. Le Guin,,2009-04-01,,,133,,,
Jeeves in the Offing,P. G. Wodehouse,,2009-04-01,+,,208,,,
Make Room! Make Room!,Harry Harrison,,2009-05-01,,,240,,,
PopCo,Scarlett Thomas,,2009-06-01,,,464,,,
Changing Planes,Ursula K. Le Guin,,2009-06-01,+,,224,,,
Lord of Light,Roger Zelazny,,2009-07-01,,,304,,,
Lavinia,Ursula K. Le Guin,,2009-07-01,+,,320,,,
"Bill, the Galactic Hero",Harry Harrison,,2009-07-01,,yes,160,,,
"James Tiptree, Jr.: The Double Life of Alice B. Sheldon",Julie Phillips,,2009-08-01,+,,576,TRUE,,
The City & The City,China Mieville,,2009-08-01,+,,384,,,
The Slaves of Solitude,Patrick Hamilton,,2009-08-01,++,,352,,,
"Bill, the Galactic Hero on The Planet of the Robot Slaves",Harry Harrison,,2009-08-01,--,,240,,,
The Design of Everyday Things,Donald A. Norman,,2009-09-01,,,368,TRUE,,
The Sportswriter,Richard Ford,,2009-09-01,,,384,,,
The Eye of the Heron,Ursula K. Le Guin,,2009-10-01,,,192,,,
The Perry Bible Fellowship Almanack,Nicholas Gurewitch,,2009-10-01,+,,256,,TRUE,
Excellent Women,Barbara Pym,,2009-11-01,,,304,,,
Best SF: 1969,,Harry Harrison,2009-11-01,,,225,,,
Seeing,José Saramago,,2009-11-01,++,,320,,,
Legend of a Suicide,David Vann,,2009-11-01,-,,240,,,
The Philosophical Baby,Alison Gopnik,,2009-12-01,,,304,TRUE,,
Bicycle Diaries,David Byrne,,2009-12-01,,,320,TRUE,,
Thrill-power Overload,David Bishop,,2009-12-01,,,256,TRUE,,
Stand on Zanzibar,John Brunner,,2010-01-01,,,672,,,
Cold Earth,Sarah Moss,,2010-01-01,+,,288,,,
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,,2010-01-01,+,,380,,TRUE,
"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,,2010-02-01,,,384,TRUE,,
You Don't Love Me Yet,Jonathan Lethem,,2010-03-01,,,240,,,
Challenges for Game Designers,Brenda Brathwaite,,2010-03-01,,,352,TRUE,,
Invisible Man,Ralph Ellison,,2010-03-01,+,,624,,,
Magic for Beginners,Kelly Link,,2010-03-01,++,,304,,,
Trillion Year Spree: The History of Science Fiction,Brian Wilson Aldiss,,2010-04-01,,,640,TRUE,,
The Brief Wondrous Life of Oscar Wao,Junot Díaz,,2010-04-01,+,,352,,,
Wild Seed,Octavia E. Butler,,2010-05-01,+,,256,,,
Evolution,Stephen Baxter,,2010-05-01,--,,768,,,
Revolutionary Road,Richard Yates,,2010-05-01,+,,352,,,
The Cave,José Saramago,,2010-06-01,++,,304,,,
The Complete Cosmicomics,Italo Calvino,,2010-06-01,+,,432,,,
Looking for Jake,China Mieville,,2010-06-01,+,,320,,,
The Iron Man,Ted Hughes,,2010-06-01,,,80,,,
American Wife,Curtis Sittenfeld,,2010-06-01,,,640,,,
Wilson,Daniel Clowes,,2010-06-01,,,80,,TRUE,
Kraken,China Mieville,,2010-07-01,,,496,,,
Tamara Drewe,Posy Simmonds,,2010-07-01,+,,136,,TRUE,
Scott Pilgrim's Precious Little Life,Bryan Lee O'Malley,,2010-08-01,,,168,,TRUE,
Scott Pilgrim Vs. the World,Bryan Lee O'Malley,,2010-08-01,,,392,,TRUE,
Scott Pilgrim & the Infinite Sadness,Bryan Lee O'Malley ,,2010-08-01,,,392,,TRUE,
Scott Pilgrim Gets It Together,Bryan Lee O'Malley,,2010-08-01,,,400,,TRUE,
Scott Pilgrim Vs. the Universe,Bryan Lee O'Malley,,2010-08-01,,,400,,TRUE,
Scott Pilgrim's Finest Hour,Bryan Lee O'Malley,,2010-08-01,,,256,,TRUE,
The Book of Sand & Shakespeare's Memory,Jorge Luis Borges,,2010-08-01,,,176,,,
Greenmantle,John Buchan,,2010-08-01,,,352,,,
The Princess Bride,William Goldman,,2010-08-01,,,336,,,
The elephant's journey,José Saramago,,2010-08-01,,,208,,,
Nineteen Eighty-Four,George Orwell,,2010-08-01,,,400,,,
